Date,Open,High,Low,Close,Volume
10-Sep-14,15.3,15.3,15.1,15.2,"3,843,000"
9-Sep-14,15.25,15.3,15.2,15.3,"3,846,000"
5-Sep-14,15.2,15.2,15.1,15.2,"2,327,000"
4-Sep-14,15.15,15.25,15,15.2,"5,697,000"
3-Sep-14,15,15.15,15,15.15,"5,428,000"
2-Sep-14,15,15.05,14.9,14.9,"1,672,000"
1-Sep-14,15.05,15.1,14.95,15,"1,507,000"
29-Aug-14,15,15.15,14.95,15,"3,100,000"
28-Aug-14,15.1,15.15,15,15.05,"2,357,000"
27-Aug-14,15.05,15.15,15,15.1,"2,967,000"
26-Aug-14,15.2,15.2,15,15.05,"3,331,000"
25-Aug-14,14.9,15.2,14.85,15.15,"10,503,000"
22-Aug-14,14.7,14.9,14.6,14.8,"5,115,000"
21-Aug-14,14.75,14.8,14.55,14.55,"3,759,000"
20-Aug-14,14.6,14.95,14.5,14.7,"7,703,000"
19-Aug-14,14.45,14.5,14.4,14.5,"1,600,000"
18-Aug-14,14.55,14.55,14.35,14.35,"1,926,000"
15-Aug-14,14.6,14.65,14.45,14.55,"3,084,000"
14-Aug-14,14.55,14.55,14.35,14.45,"2,170,000"
13-Aug-14,14.45,14.5,14.3,14.5,"2,931,000"
12-Aug-14,14.6,14.6,14.4,14.4,"2,110,000"
11-Aug-14,14.55,14.65,14.45,14.5,"2,106,000"
8-Aug-14,14.5,14.55,14.35,14.35,"1,966,000"
7-Aug-14,14.4,14.5,14.35,14.45,"1,763,000"
6-Aug-14,14.4,14.5,14.35,14.35,"2,215,000"
5-Aug-14,14.8,14.8,14.35,14.35,"7,565,000"
4-Aug-14,15,15,14.8,14.8,"2,772,000"
1-Aug-14,14.8,15.05,14.8,14.9,"2,949,000"
31-Jul-14,15,15.05,14.85,14.85,"3,835,000"
30-Jul-14,15,15,14.85,15,"3,615,000"
29-Jul-14,14.85,15,14.8,14.95,"3,635,000"
28-Jul-14,15,15,14.8,14.8,"3,842,000"
25-Jul-14,14.95,15,14.85,15,"2,651,000"
24-Jul-14,14.9,14.95,14.85,14.9,"2,682,000"
22-Jul-14,14.95,15,14.85,15,"3,074,000"
21-Jul-14,15.1,15.1,14.95,14.95,"3,447,000"
18-Jul-14,15.05,15.1,14.9,14.95,"7,365,000"
17-Jul-14,15.25,15.3,15.1,15.25,"5,465,000"
16-Jul-14,15.15,15.3,15,15.2,"10,215,000"
15-Jul-14,15.2,15.2,15.05,15.1,"6,876,000"
14-Jul-14,14.7,15.15,14.7,15.15,"14,611,000"
11-Jul-14,14.65,14.75,14.55,14.6,"5,272,000"
10-Jul-14,14.6,14.65,14.5,14.55,"3,343,000"
9-Jul-14,14.5,14.6,14.45,14.55,"3,335,000"
8-Jul-14,14.6,14.6,14.4,14.45,"3,014,000"
7-Jul-14,14.65,14.65,14.45,14.6,"2,645,000"
4-Jul-14,14.3,14.7,14.25,14.65,"9,857,000"
3-Jul-14,14.35,14.35,14.25,14.25,"2,433,000"
2-Jul-14,14.45,14.45,14.3,14.35,"4,262,000"
1-Jul-14,14.4,14.45,14.3,14.4,"3,628,000"
30-Jun-14,14.2,14.35,14.2,14.35,"2,424,000"
27-Jun-14,14.45,14.5,14.3,14.35,"2,555,000"
26-Jun-14,14.1,14.5,14.1,14.4,"4,462,000"
25-Jun-14,14.1,14.2,14.05,14.1,"2,797,000"
24-Jun-14,14.05,14.15,14.05,14.1,"4,943,000"
23-Jun-14,14.4,14.4,14,14.05,"10,166,000"
20-Jun-14,14.6,14.65,14.4,14.4,"9,662,000"
19-Jun-14,14.75,14.85,14.55,14.6,"8,711,000"
18-Jun-14,14.8,14.9,14.6,14.8,"8,093,000"
17-Jun-14,14.7,14.85,14.7,14.8,"2,978,000"
16-Jun-14,14.9,14.9,14.7,14.7,"6,010,000"
13-Jun-14,15,15.05,14.8,14.85,"8,008,000"
12-Jun-14,15.05,15.15,15,15.05,"2,896,000"
11-Jun-14,15.15,15.15,15.05,15.05,"3,093,000"
10-Jun-14,15,15.1,15,15.1,"4,177,000"
